Name,Type,City,TikTok Link,Transcript,Available
Rau Má Mix,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7219655919569800450,"It's kinda weird, but really good. like the matcha of vietnam ",yes
"Ocean Palace, Quan 1",Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7326398793815969031,"
 hella fancy Chinese spot.
It was really authentic.  great for yum cha",yes
Saigon Central Post Office,Experience,Saigon,https://www.tiktok.com/@brandneweats/video/7326398793815969031,"Then we went to be a typical tourist at the post office.
I swear this is on every itinerary.
Not surprised
it was packed with tourists.
But if you take that away,
it feels like I was transported back in time.
Picked up my favorite letter
and sent it back home to my parents.
",
Tan Dinh Church,Experience,Saigon,https://www.tiktok.com/@brandneweats/video/7326398793815969031,"Over to the Pink Church.
And we can't go inside cause right now
I think the service on Saturdays and Sundays,
but it's outside that matters, not inside.
",
Ho Thi Ky Night Market,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7204394863167606017,"Everything I ate for $5
at the  at Ho Thi Ky Night Market in saigon
This market is a hidden local gem
that has over hundred stores.
And one of them is this lady
that was sloshing away with this squid and oil.
So I had to try it.
And it's covered with cumin,
which is so delectable.
Then I saw this uncle that didn't have any customers,
but his school is really good
and they were tasted like smoky beef jerky.
Next I found my favorite Viet dessert,
avocado ice cream.
This coconut ice cream slathered with avocado puree.
And the weather was really hot,
but this was freezing cold.
Then I had some takiyyaki,
which is surprisingly decent.
And this really caught my eye.
Looks like takoyaki
but it's actually quail egg
with toppings like seaweed and meat.
It's really crispy at the bottom
and the Kewpie Mayo
chilli sauce combo made it the perfect street snack.
We were really thirsty
and we found my cousin's favourite place
for peach iced tea,
which was so refreshing and full of peachy flavour.
And finally I had bun caulk
mini savory pancakes topped with meat,
prawns and egg.
It was really crispy
but a bit too dry and oily here.",yes
Pizza 4Ps,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7344679237082762504,"Is pizza and pasta in Vietnam a waste or is it great?
Normally I avoid anything that's not Viet food,
but I needed to reset my palette.
So let's start with the burrata
that was mixed with fruit.
Sounds strange,
but the sweet and creamy combo works,
at least for a few bites.
Next, the signature crab pasta had an intense
creamy krabby flavor like a bisque.
The pasta was nice and al dente.
Finally, the pizza.
Impressed to see wood fired
because it's not real pizza without that smoky flavor.
The four cheese drizzled with honey was delicious.
And the Margarita was just decent.
It's obviously not as good as Naples or even Sydney,
but overall, pretty great.",yes
Bánh Mì Hồng Hoa,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7315026196121570561,"Finally, find a banh mi in Vietnam
that's on par with the ones in Sydney.
I got the bun meter.
Com. This is the small one.
This is 38 k, $2.
Let's give it a go.
Hmm. The base, so crispy and light.
The patay is really turm flavorful.
They put the right amount of cold meat,
pork, rice and pickled veggies.
It's just a really well balanced bun meat.
Better than hoonhuang, like nearby.",yes
Com Tam Ba Ghien,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7275310178642300161,"Today I missed a flight,
but it's alright because I got to try this famous
Michelin Guide com tam spot in saigong.
So let's see if it's worth the hype.
I ordered the special 9 dollar plate
which had everything.
It's pretty expensive for Vietnam standards,
but the portion was massive.
Pork chop was nice and smoky,
but to be on the sweet side,
this shredded pork skin beef just hit the spot.
It came with a few other meats like this meatloaf,
which is so nice and soft.
It also had this sausage and meatball,
but these were kind of redundant and cold.
I recommend just getting the plate with a pork chop,
egg and meatloaf.
But honestly,
you can go to a random com tam spot on the street
and it'll probably be just as good.",yes
Secret Garden District Saigon,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7274913856378490113,"I just found a hidden rooftop restaurant in saigon
You literally have to climb out eight flights of stairs
in a random apartment complex.
But once you see the city skyline,
it's all worth it.
They serve home style dishes,
which I won't lie to you,
I'm gonna be the best food you get in the city,
but it's not that watered down.
Even my local Viet cousins approved.
The really good dishes were this mango and fish salad,
this grilled egg plain with scallion oil
and the deep fried anchovies.
It's full of tourists,
so it's on the more expensive side,
around 8 to 13 AUD per dish.
But I think the overall experience makes it worth it,
especially if you are tourist.",yes
Cuc Gach Restaurant,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7176013846396636417,"guys, I've just found my new favourite restaurant
in Saigon District 1.
and it's caught Cuc Gach,
which means brick in English.
and I think that's because they serve homestyle meals,
which really reminded me of my mom's cooking.
holy. this is the best cooked supper crab I've had.
I think I ordered 10 dishes and everything was top tier.
probably don't like this. dude.
the dishes were around 100 250 K each,
which is around like 6 to $8 each.
I mean, just look at my reaction to this salad.
I can't recommend this place enough
if you're looking for more upscale,
you know, out of the street.
this is a 10 out of 10",yes
Tam Vi,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7188377571887680770,"if you want to eat like a Viet king,
then save this restaurant in Hanoi.
the moment you walk in,
it feels like you're transported
back to the Nguyen dynasty.
and even the food tastes like what they would eat.
these were the highlights that I recommend getting
for a world balanced royal feast,
especially these spring rolls in the meat stuffed tofu,
which I stuffed up.
so can't forget the infamous
the car reminds me of home.
this costed us $10 per person,
and this was the best food I had in Hanoi.",yes
Cafe Pho Co,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7178830572565859585,,no
Bun Cha Huong Lien,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7178124001141607682,"this is the most famous place to get boomjaw in Hanoi
because Obama ate here.
but is it worth the hype?
of course! we had to get the Obama set
and this comes with bun cha ,
beer and a seafood spring roll for $5.
considering the Obama name tag
is pretty reasonably priced.
basically how you ate this.
you dunked the noodles in the sauce
and then ate some of the meat and the veggies.
this bun cha  was perfect.
the meat had a strong smoky flavor and the fish sauce
soup was the perfect tangy compliment.
the spring roll was the best I've had.
just listen to this.
so crisp. but the hype.
definitely check it out
and follow for more authentic food recs in Vietnam.",yes
Phở Gia Truyền Bát Đàn,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7179550393586748673,"my local friend told me to go here
for the best bowl of pho in Hanoi.
this place has been doing it for over 60 years
and it's already packed at 6am with all the locals.
I got the Pho Tai Nam and this was 3.
the broth is light,
beefy, gingery, and it's good for breakfast,
but doesn't really compare with southern pho,
which has more depth and spice flavor.
also, what makes northern Pho special
is you get these Chinese donuts.
I'm not really a big fan of it.
by my friend Victor on the other hand.
and to top it off,
we also got a free bug in our soup, which",yes
